,USAF,YR--MODAHRMN,TEMP,MAX,MIN,Celsius
7559,28450,201708141800,56.00,62.00,49.00,13
7595,28450,201708150600,49.00,56.00,44.00,9
7655,28450,201708160600,54.00,54.00,47.00,12
7690,28450,201708161800,58.00,65.00,53.00,14
7726,28450,201708170600,55.00,59.00,53.00,13
7762,28450,201708171800,58.00,64.00,54.00,14
7798,28450,201708180600,56.00,59.00,47.00,13
7834,28450,201708181800,64.00,69.00,56.00,18
7870,28450,201708190600,57.00,64.00,57.00,14
7906,28450,201708191800,62.00,65.00,57.00,17
7942,28450,201708200600,58.00,62.00,56.00,14
7978,28450,201708201800,56.00,60.00,56.00,13
8014,28450,201708210600,55.00,56.00,54.00,13
8050,28450,201708211800,57.00,60.00,55.00,14
8085,28450,201708220600,50.00,57.00,49.00,10
8154,28450,201708230600,45.00,50.00,41.00,7
8188,28450,201708231800,46.00,48.00,45.00,8
8222,28450,201708240600,46.00,46.00,44.00,8
8257,28450,201708241800,47.00,50.00,46.00,8
8289,28450,201708250600,44.00,47.00,44.00,7
8323,28450,201708251800,44.00,47.00,44.00,7
8393,28450,201708261800,46.00,51.00,40.00,8
8429,28450,201708270600,45.00,46.00,42.00,7
8464,28450,201708271800,47.00,50.00,45.00,8
8500,28450,201708280600,47.00,47.00,40.00,8
8536,28450,201708281800,49.00,56.00,47.00,9
8572,28450,201708290600,48.00,51.00,47.00,9
8608,28450,201708291800,54.00,54.00,48.00,12
8644,28450,201708300600,50.00,54.00,50.00,10
8680,28450,201708301800,52.00,58.00,50.00,11
8716,28450,201708310600,51.00,52.00,47.00,11
8752,28450,201708311800,55.00,63.00,51.00,13
